









Frequency of observations in the selected location(s).:
Number of taxa: 	123

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	10.0	10.0	6.0	4.0	5.0	4.0	8.0	5.0	5.0	6.0	5.0	9.0	6.0	7.0	9.0	12.0	7.0	5.0	6.0	14.0	8.0	5.0	3.0	8.0	3.0	7.0	4.0	7.0	2.0	3.0	4.0	7.0	6.0	7.0	4.0	8.0	5.0	4.0	6.0	9.0	6.0	11.0	8.0	5.0	13.0	9.0	5.0	9.0	

Eurasian Coot (<em class="sci">Fulica atra</em>)	0.1	0.1	0.3333333	0.0	0.0015	0.0	0.125	0.0	0.0	0.1666667	0.2	0.0	0.0	0.0	0.2222222	0.25	0.1428571	0.0	0.1666667	0.1428571	0.125	0.2	0.0	0.125	0.0	0.2857143	0.0	0.1428571	0.5	0.0	0.25	0.1428571	0.0	0.1428571	0.25	0.125	0.2	0.25	0.0	0.1111111	0.0	0.0	0.0	0.0015	0.0769231	0.1111111	0.2	0.2222222	
Australasian Swamphen (<em class="sci">Porphyrio melanotus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
rail/crake sp. (<em class="sci">Rallidae sp. (rail/crake sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Masked Lapwing (<em class="sci">Vanellus miles</em>)	0.3	0.1	0.1666667	0.0	0.4	0.25	0.5	0.0	0.2	0.1666667	0.4	0.1111111	0.1666667	0.4285714	0.1111111	0.1666667	0.2857143	0.0	0.1666667	0.2142857	0.375	0.2	0.0	0.125	0.0	0.1428571	0.5	0.7142857	0.5	0.0	0.25	0.1428571	0.3333333	0.4285714	0.25	0.125	0.2	0.25	0.0	0.0	0.0	0.0909091	0.0	0.4	0.1538462	0.1111111	0.2	0.3333333	
Little Buttonquail (<em class="sci">Turnix velox</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Silver Gull (<em class="sci">Chroicocephalus novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australasian Grebe (<em class="sci">Tachybaptus novaehollandiae</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australasian Darter (<em class="sci">Anhinga novaehollandiae</em>)	0.0	0.0015	0.1666667	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Little Pied Cormorant (<em class="sci">Microcarbo melanoleucos</em>)	0.1	0.1	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.1666667	0.1428571	0.0	0.1666667	0.0	0.125	0.0	0.0	0.0	0.0	0.1428571	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222	
Great Cormorant (<em class="sci">Phalacrocorax carbo</em>)	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1111111	
Little Black Cormorant (<em class="sci">Phalacrocorax sulcirostris</em>)	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.1111111	0.0	0.0	
Australian White Ibis (<em class="sci">Threskiornis molucca</em>)	0.1	0.1	0.3333333	0.0	0.2	0.0	0.25	0.0	0.0	0.3333333	0.0	0.0	0.0	0.0	0.1111111	0.0833333	0.1428571	0.0	0.1666667	0.1428571	0.25	0.2	0.0	0.25	0.0	0.4285714	0.0	0.2857143	0.0	0.0	0.25	0.2857143	0.3333333	0.1428571	0.25	0.125	0.2	0.25	0.0015	0.1111111	0.1666667	0.2727273	0.0	0.4	0.3076923	0.2222222	0.2	0.3333333	
Straw-necked Ibis (<em class="sci">Threskiornis spinicollis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Royal Spoonbill (<em class="sci">Platalea regia</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-faced Heron (<em class="sci">Egretta novaehollandiae</em>)	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	
Great Egret (<em class="sci">Ardea alba</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	
Australian Pelican (<em class="sci">Pelecanus conspicillatus</em>)	0.1	0.1	0.1666667	0.0	0.0	0.0	0.125	0.0	0.0	0.1666667	0.0	0.0	0.0	0.0	0.1111111	0.0833333	0.1428571	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.2	0.2222222	
Wedge-tailed Eagle (<em class="sci">Aquila audax</em>)	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.1111111	0.0015	0.2857143	0.0	0.0833333	0.0	0.0	0.0	0.0714286	0.0	0.2	0.3333333	0.125	0.0	0.0	0.25	0.1428571	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.1666667	0.0	0.125	0.0	0.0	0.0	0.0	0.0	
Collared Sparrowhawk (<em class="sci">Tachyspiza cirrocephala</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Goshawk (<em class="sci">Tachyspiza fasciata</em>)	0.1	0.1	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.1666667	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0769231	0.1111111	0.0	0.0	
Collared Sparrowhawk/Brown Goshawk (<em class="sci">Tachyspiza cirrocephala/fasciata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
hawk sp. (<em class="sci">Accipitridae sp. (hawk sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Barn Owl (<em class="sci">Tyto javanica</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Australian Boobook (<em class="sci">Ninox boobook</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.3333333	0.0	0.3333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Laughing Kookaburra (<em class="sci">Dacelo novaeguineae</em>)	0.4	0.4	0.5	0.75	0.6	0.5	0.5	0.4	1.0	0.1666667	0.8	0.2222222	0.0	0.4285714	0.3333333	0.3333333	0.5714286	0.4	0.8333333	0.2857143	0.5	0.4	0.6666667	0.5	0.0	0.4285714	1.0	0.5714286	0.0	0.3333333	0.75	0.2857143	0.8333333	0.5714286	0.25	0.75	0.4	0.5	0.8333333	0.5555556	0.3333333	0.7272727	0.375	0.4	0.7692308	0.7777778	0.2	0.4444444	
Sacred Kingfisher (<em class="sci">Todiramphus sanctus</em>)	0.2	0.0	0.1666667	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222	0.3333333	0.0909091	0.25	0.2	0.1538462	0.1111111	0.0	0.0	
Nankeen Kestrel (<em class="sci">Falco cenchroides</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brown Falcon (<em class="sci">Falco berigora</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
