









Frequency of observations in the selected location(s).:
Number of taxa: 	279

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	64.0	29.0	30.0	53.0	39.0	37.0	36.0	34.0	20.0	22.0	27.0	49.0	31.0	37.0	47.0	41.0	40.0	33.0	19.0	35.0	42.0	32.0	34.0	41.0	21.0	36.0	34.0	22.0	23.0	22.0	22.0	54.0	43.0	41.0	38.0	48.0	82.0	48.0	69.0	107.0	45.0	49.0	31.0	27.0	20.0	35.0	23.0	81.0	

Fan-tailed Cuckoo (<em class="sci">Cacomantis flabelliformis</em>)	0.0	0.1034483	0.0333333	0.0188679	0.0	0.0	0.0	0.0294118	0.05	0.1363636	0.1111111	0.0204082	0.0645161	0.0540541	0.0638298	0.0243902	0.0	0.0909091	0.0	0.0285714	0.0714286	0.0	0.0588235	0.0243902	0.0952381	0.0	0.0588235	0.1363636	0.0434783	0.1363636	0.0909091	0.0740741	0.0697674	0.1219512	0.1052632	0.0416667	0.0731707	0.0833333	0.1449275	0.0934579	0.0015	0.0204082	0.0322581	0.0740741	0.05	0.2	0.0434783	0.0617284	
Sahul Brush Cuckoo (<em class="sci">Cacomantis variolosus</em>)	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0289855	0.0186916	0.0	0.0	0.0	0.037037	0.05	0.0285714	0.0	0.0493827	
White-throated Nightjar (<em class="sci">Eurostopodus mystacalis</em>)	0.0	0.0	0.0	0.0	0.0	0.027027	0.0	0.0294118	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0243902	0.0	0.0	0.0	0.0	0.0289855	0.0	0.0666667	0.0	0.0322581	0.0	0.0015	0.0	0.0	0.0246914	
Tawny Frogmouth (<em class="sci">Podargus strigoides</em>)	0.0	0.0344828	0.0333333	0.0	0.025641	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0212766	0.0	0.05	0.030303	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0789474	0.0	0.0243902	0.0208333	0.0	0.0186916	0.0222222	0.0612245	0.0322581	0.0	0.0	0.0571429	0.0	0.0123457	
Australian Owlet-nightjar (<em class="sci">Aegotheles cristatus</em>)	0.03125	0.0	0.0666667	0.0	0.0769231	0.027027	0.0277778	0.0294118	0.0	0.0454545	0.0740741	0.0816327	0.0322581	0.0	0.0	0.0243902	0.075	0.0606061	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0465116	0.0243902	0.0	0.0015	0.0243902	0.0	0.057971	0.0280374	0.0666667	0.0408163	0.0322581	0.0	0.0	0.0285714	0.0	0.0	
White-throated Needletail (<em class="sci">Hirundapus caudacutus</em>)	0.0	0.0	0.0015	0.0754717	0.025641	0.0540541	0.0833333	0.0882353	0.15	0.0909091	0.0740741	0.1020408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222	0.0	0.0	0.0	0.1	0.0285714	0.0	0.0246914	
Pacific Swift (<em class="sci">Apus pacificus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Lewin's Rail (<em class="sci">Lewinia pectoralis</em>)	0.015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0238095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0246914	
Buff-banded Rail (<em class="sci">Gallirallus philippensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0121951	0.0208333	0.0	0.0093458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-tailed Nativehen (<em class="sci">Tribonyx ventralis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
